iteration,memberId,overallCompositeLoss,rankingLoss,rankingObjective,passCount,warnCount,failCount,normalizedSourceMovement,PSYCHOLOGICAL_COST_OF_RENTING,SENSITIVITY_RENT_OR_PURCHASE,BTL_CHOICE_INTENSITY,MARKET_AVERAGE_PRICE_DECAY
0,0,0.5264813736223135,0.5264813736223135,family_aware_metric_loss,5,0,12,0.0,0.4,0.001,100.0,0.5
0,1,0.5206159178915895,0.5206159178915895,family_aware_metric_loss,6,0,11,0.23886047958794354,0.4478607347758429,0.0014800160015242532,69.89113133164484,0.4497838861083775
0,2,0.5326974196228031,0.5326974196228031,family_aware_metric_loss,5,0,12,0.3455354524457147,0.554870930669391,0.0005843059859029626,119.77233509747231,0.6160906037135538
0,3,0.5186591419176415,0.5186591419176415,family_aware_metric_loss,5,1,11,0.18257398208069917,0.27727446626184965,0.001019096760798041,64.62464627432377,0.4913547829218793
0,4,0.5194865184029668,0.5194865184029668,family_aware_metric_loss,4,2,11,0.3287911977838451,0.23036158116982886,0.0005358242137638374,75.79231510776083,0.5268924164728833
0,5,0.5141584177469755,0.5141584177469755,family_aware_metric_loss,5,2,10,0.20636030791659873,0.5994099478215137,0.000934538259944121,93.01988332063237,0.5653474603042647
0,6,0.5112143048864486,0.5112143048864486,family_aware_metric_loss,6,1,10,0.3528091404513611,0.5017830647681442,0.0006844659215054105,54.75736825898263,0.41682699662208333
0,7,0.4998868804262937,0.4998868804262937,family_aware_metric_loss,5,2,10,0.29852472525824186,0.32814614808565606,0.0011823945801795166,133.83045071006802,0.6893573294061415
0,8,0.5499505605606364,0.5499505605606364,family_aware_metric_loss,4,1,12,0.3777131097610765,0.3012112654754378,0.0006454659878090649,50.24591886850843,0.5838737198341781
0,9,0.5179464199063235,0.5179464199063235,family_aware_metric_loss,6,0,11,0.18301996589441166,0.4749736408248708,0.001111438877143785,140.88130268270734,0.5493868959400741
0,10,0.5078121756970921,0.5078121756970921,family_aware_metric_loss,7,0,10,0.3500589136253768,0.5774569887471905,0.000763706374375385,82.57509725842176,0.6721698116610222
