iteration,memberId,overallCompositeLoss,rankingLoss,rankingObjective,passCount,warnCount,failCount,normalizedSourceMovement,PSYCHOLOGICAL_COST_OF_RENTING,SENSITIVITY_RENT_OR_PURCHASE,BTL_CHOICE_INTENSITY,MARKET_AVERAGE_PRICE_DECAY
6,0,0.47319660016759,0.47319660016759,family_aware_metric_loss,6,2,9,0.24179235940271604,0.25,0.00098,110.0,0.66
6,1,0.4754479178188886,0.4754479178188886,family_aware_metric_loss,7,0,10,0.2770817571619397,0.2,0.00098,110.0,0.66
6,2,0.49482943296742915,0.49482943296742915,family_aware_metric_loss,5,2,10,0.21020344725168055,0.30000000000000004,0.00098,110.0,0.66
6,3,0.4942537964078003,0.4942537964078003,family_aware_metric_loss,6,1,10,0.24412632659773603,0.25,0.00097,110.0,0.66
6,4,0.4843425506165117,0.4843425506165117,family_aware_metric_loss,7,0,10,0.23948208771525703,0.25,0.00099,110.0,0.66
6,5,0.47197331318028074,0.47197331318028074,family_aware_metric_loss,7,1,9,0.22010359331402773,0.25,0.00098,100.0,0.66
6,6,0.49659254445228623,0.49659254445228623,family_aware_metric_loss,6,1,10,0.2615926515274102,0.25,0.00098,120.0,0.66
6,7,0.4828035820036431,0.4828035820036431,family_aware_metric_loss,7,0,10,0.2247146923449398,0.25,0.00098,110.0,0.64
6,8,0.4876392672234809,0.4876392672234809,family_aware_metric_loss,6,2,9,0.25986671622290775,0.25,0.00098,110.0,0.68
6,9,0.4939814622613169,0.4939814622613169,family_aware_metric_loss,6,1,10,0.20560612308056364,0.30000000000000004,0.001,110.0,0.66
6,10,0.4865324599035174,0.4865324599035174,family_aware_metric_loss,6,2,9,0.23719503523159913,0.25,0.001,110.0,0.66
6,11,0.5050853601334492,0.5050853601334492,family_aware_metric_loss,4,3,10,0.17607896434564496,0.35000000000000003,0.001,110.0,0.66
6,12,0.4930114906283669,0.4930114906283669,family_aware_metric_loss,6,1,10,0.22958194165290985,0.30000000000000004,0.0009,110.0,0.66
6,13,0.48819341010875067,0.48819341010875067,family_aware_metric_loss,6,2,9,0.22729488916925195,0.30000000000000004,0.0011,110.0,0.66
6,14,0.49808855245040284,0.49808855245040284,family_aware_metric_loss,5,2,10,0.18391735699187534,0.30000000000000004,0.001,100.0,0.66
6,15,0.4982661074983309,0.4982661074983309,family_aware_metric_loss,5,2,10,0.2254064152052578,0.30000000000000004,0.001,120.0,0.66
6,16,0.5097451715789727,0.5097451715789727,family_aware_metric_loss,4,3,10,0.1885284560227874,0.30000000000000004,0.001,110.0,0.64
6,17,0.5131569697965467,0.5131569697965467,family_aware_metric_loss,4,3,10,0.22368047990075535,0.30000000000000004,0.001,110.0,0.68
6,18,0.4863663826895768,0.4863663826895768,family_aware_metric_loss,6,2,9,0.38130953965471054,0.25,0.0016,150.0,0.62
6,19,0.4948924185479874,0.4948924185479874,family_aware_metric_loss,6,1,10,0.41659893741393417,0.2,0.0016,150.0,0.62
6,20,0.47570652992955936,0.47570652992955936,family_aware_metric_loss,7,1,9,0.34972062750367505,0.30000000000000004,0.0016,150.0,0.62
6,21,0.4966812227494542,0.4966812227494542,family_aware_metric_loss,5,3,9,0.36662316626273483,0.25,0.0015,150.0,0.62
6,22,0.4932350453140754,0.4932350453140754,family_aware_metric_loss,6,1,10,0.3951052668738945,0.25,0.0017,150.0,0.62
